Plot no. ,Location,Env,Rep,Block,Genotype,Protein,SAAs,PDg
1051,WPR_2022,1,1,4,PI163589,21.05509279,0.107231478,0.810347295
1246,WPR_2022,1,1,7,PI175754,20.69160374,0.104756955,0.818679093
2016,WPR_2022,1,2,4,ILL151,21.99608338,0.070421022,0.812136548
1048,WPR_2022,1,1,4,PI178939,22.25301061,0.088723616,0.812503535
2271,WPR_2022,1,2,8,PI178939,22.9158338,0.117603841,0.822034816
1126,WPR_2022,1,1,1,PI178940,24.2563725,0.099418765,0.829535191
2140,WPR_2022,1,2,3,PI178940,27.38303528,0.178550463,0.849559323
1116,WPR_2022,1,1,4,ILL167,23.49780005,0.144599781,0.822776082
2120,WPR_2022,1,2,3,ILL167,24.58573476,0.148566413,0.828921829
2146,WPR_2022,1,2,4,PI178971,21.48121065,0.115809245,0.815960472
1157,WPR_2022,1,1,1,PI179324,21.38871728,0.118114784,0.815545607
1058,WPR_2022,1,1,2,ILL186,22.72242647,0.119815334,0.821810904
2234,WPR_2022,1,2,7,ILL186,22.53980675,0.139262399,0.836465633
1060,WPR_2022,1,1,2,PI181771,23.53035431,0.132641591,0.820333851
1306,WPR_2022,1,1,8,PI181886,23.65451853,0.144874862,0.822529025
2054,WPR_2022,1,2,3,PI181886,20.13196123,0.089977285,0.803122074
2109,WPR_2022,1,2,4,PI182217,22.82949624,0.135491417,0.830747517
1180,WPR_2022,1,1,8,PI193547,21.46504971,0.127933943,0.811830194
2279,WPR_2022,1,2,7,PI193548,20.29032051,0.079188591,0.805081461
1185,WPR_2022,1,1,6,PI193817,19.67127211,0.116497768,0.796322608
2090,WPR_2022,1,2,2,PI193817,22.24791036,0.139625324,0.832318123
1049,WPR_2022,1,1,4,PI207492,21.35634865,0.103285315,0.815949114
2270,WPR_2022,1,2,8,PI207492,22.48981483,0.113052159,0.818717412
2055,WPR_2022,1,2,3,ILL211,22.87426863,0.139950846,0.831316922
1143,WPR_2022,1,1,4,PI211052,22.69747277,0.140577608,0.820902781
1207,WPR_2022,1,1,8,PI211602,22.2878728,0.125338564,0.833352117
2226,WPR_2022,1,2,5,PI211602,22.97945171,0.129142349,0.826438274
1107,WPR_2022,1,1,3,PI212100,21.1788524,0.103390016,0.805061438
2079,WPR_2022,1,2,4,PI212100,23.02038226,0.157061533,0.825468099
1024,WPR_2022,1,1,3,ILL217,20.11216371,0.098633553,0.803000845
2201,WPR_2022,1,2,7,ILL217,22.07456363,0.10153726,0.813420544
1312,WPR_2022,1,1,7,PI217949,21.34678564,0.103613515,0.807519574
2150,WPR_2022,1,2,3,PI217949,21.90186342,0.131973609,0.824375371
1212,WPR_2022,1,1,8,PI238758,21.974268,0.082075765,0.823443798
2013,WPR_2022,1,2,4,PI238758,23.22693097,0.07227873,0.819364653
1302,WPR_2022,1,1,8,PI250156,22.12627731,0.103083014,0.799807122
2247,WPR_2022,1,2,7,PI250156,19.64102213,0.096592254,0.800304938
1019,WPR_2022,1,1,4,PI251032,22.09468319,0.120579175,0.819082499
2232,WPR_2022,1,2,6,PI251032,22.17353175,0.11099037,0.813392648
2075,WPR_2022,1,2,3,PI251248,24.54557132,0.144491851,0.836438623
1026,WPR_2022,1,1,2,PI251784,22.91061691,0.076301701,0.820834839
1122,WPR_2022,1,1,2,ILL241,23.5671776,0.14698324,0.832497961
2252,WPR_2022,1,2,6,ILL241,21.41374205,0.112553346,0.814277417
1236,WPR_2022,1,1,7,PI280686,22.358739,0.128411709,0.812611614
2040,WPR_2022,1,2,2,PI280686,26.37533536,0.171642403,0.880851012
1288,WPR_2022,1,1,5,PI283604,21.95843783,0.101658055,0.822638517
2302,WPR_2022,1,2,8,PI283604,22.87747056,0.12125739,0.819325379
1313,WPR_2022,1,1,6,PI289066,23.43005367,0.129999251,0.827564777
2280,WPR_2022,1,2,7,PI289066,23.8051847,0.110868151,0.82669692
1075,WPR_2022,1,1,3,PI289070,26.32459163,0.17428909,0.846967127
2220,WPR_2022,1,2,6,PI289070,24.100338,0.161724409,0.833350119
2309,WPR_2022,1,2,7,PI289073,22.02407097,0.096613654,0.809042728
1245,WPR_2022,1,1,7,PI289077,21.59128198,0.139248013,0.818556979
2130,WPR_2022,1,2,1,PI289077,22.30570886,0.148517867,0.818455678
2187,WPR_2022,1,2,6,PI289079,24.46825989,0.108869592,0.823798231
2318,WPR_2022,1,2,5,PI290716,20.59203656,0.102207874,0.800581944
1171,WPR_2022,1,1,7,PI297284,22.35636815,0.110513482,0.814571652
2100,WPR_2022,1,2,1,PI297284,25.55262223,0.148880165,0.82492957
1273,WPR_2022,1,1,8,PI297285,22.94287304,0.112897307,0.819643062
2278,WPR_2022,1,2,7,PI297285,22.0458424,0.114343737,0.827400715
1174,WPR_2022,1,1,8,ILL1922,20.78075992,0.109641997,0.808185255
1285,WPR_2022,1,1,5,PI297287,22.5863504,0.105773465,0.820820215
1247,WPR_2022,1,1,7,PI297767,21.86555664,0.117707279,0.820181042
1055,WPR_2022,1,1,3,PI297772,22.71985074,0.091195838,0.821958938
2243,WPR_2022,1,2,8,PI297772,24.38658449,0.122396835,0.827102367
1242,WPR_2022,1,1,8,PI297787,20.98112764,0.107547117,0.815330452
1290,WPR_2022,1,1,5,ILL324,23.76530227,0.076998344,0.819788905
1187,WPR_2022,1,1,6,PI298121,23.85985557,0.120631967,0.82744695
1202,WPR_2022,1,1,7,PI298122,21.23267844,0.088807434,0.814367133
2047,WPR_2022,1,2,4,PI298122,24.73703161,0.12077116,0.831173063
1021,WPR_2022,1,1,3,PI298357,22.49726553,0.126322217,0.816198183
1190,WPR_2022,1,1,5,PI298631,23.88357077,0.11375929,0.833236349
1167,WPR_2022,1,1,6,PI298644,23.97045042,0.142638607,0.832760414
2263,WPR_2022,1,2,6,PI298645,23.75918531,0.124597198,0.81436086
1280,WPR_2022,1,1,7,ILL341,22.6602843,0.150691453,0.824678879
2135,WPR_2022,1,2,2,ILL341,24.89164744,0.134934749,0.841246434
2216,WPR_2022,1,2,7,PI298922,22.240423,0.086074085,0.83057014
1006,WPR_2022,1,1,2,PI298923,19.51321059,0.100729872,0.807162161
2273,WPR_2022,1,2,8,PI298923,25.74868,0.190317262,0.842814575
2199,WPR_2022,1,2,6,ILL344,22.68318944,0.100393412,0.824152884
1176,WPR_2022,1,1,8,PI299116,22.07043518,0.111785598,0.814762779
2029,WPR_2022,1,2,1,PI299116,20.81957769,0.060948194,0.809930715
1096,WPR_2022,1,1,1,PI299120,21.02427987,0.068954344,0.809893118
2060,WPR_2022,1,2,2,PI299120,22.21142743,0.087756034,0.819041422
1305,WPR_2022,1,1,8,PI299121,24.40578556,0.109326359,0.804762063
1144,WPR_2022,1,1,4,ILL357,20.82272109,0.099020434,0.807773059
2131,WPR_2022,1,2,1,ILL357,22.11494719,0.099294511,0.813628488
1155,WPR_2022,1,1,2,ILL359,22.52837401,0.084591959,0.817911679
1008,WPR_2022,1,1,2,ILL360,22.84783973,0.093992489,0.813971554
2036,WPR_2022,1,2,1,ILL360,24.62100626,0.131588854,0.837380682
1295,WPR_2022,1,1,6,PI299163,28.26143855,0.154009366,0.848080216
1209,WPR_2022,1,1,8,PI299164,21.96432278,0.119427202,0.814969037
1053,WPR_2022,1,1,3,PI299207,23.80001296,0.121683268,0.82628142
2057,WPR_2022,1,2,2,PI299207,26.053126,0.158822296,0.833422949
1308,WPR_2022,1,1,8,PI299215,24.5377291,0.143867609,0.819342222
2065,WPR_2022,1,2,1,PI299215,22.56014302,0.132812668,0.819590825
1169,WPR_2022,1,1,7,PI299237,22.78530186,0.128927749,0.82357197
