Pot No.,Replication,Year,ID,Genotype,Protein,SAAs,PDg,,,,
80,1,1,PI298922,PI298922,24.01541543,0.116336569,0.832528716,,,,
422,1,1,W627781,W627781,24.41506366,0.115720405,0.818686177,,,,
139,1,1,PI472590,PI472590,23.68259557,0.113887046,0.827369821,,,,
57,1,1,PI339310,PI339310,24.40488345,0.092372199,0.829754071,,,,
124,1,1,PI370481,PI370481,0,0,0,,,,
130,1,1,PI431636,PI431636,26.05200289,0.149089051,0.827187519,,,,
92,1,1,PI299354,PI299354,0,0,0,,,,
246,1,1,ILL2231,ILL2231,23.98782757,0.130618457,0.833674331,,,,
438,1,1,PI472632,PI472632,26.14575082,0.150917112,0.833186902,,,,
69,1,1,PI297767,PI297767,0,0,0,,,,
119,1,1,PI431631,PI431631,21.6194331,0.100084523,0.811347185,,,,
298,1,1,ILL7979,ILL7979,23.62649668,0.144782299,0.834125335,,,,
98,1,1,PI308614,PI308614,27.44649624,0.152027398,0.84166943,,,,
349,1,1,PI431618,PI431618,0,0,0,,,,
225,1,1,ILL769,ILL769,0,0,0,,,,
186,1,1,PI319367,ILL502,23.65690277,0.134465039,0.822987357,,,,
398,1,1,PI432085,PI432085,21.63540503,0.076922369,0.80344645,,,,
212,1,1,ILL2297,ILL2297,23.65531488,0.129967223,0.818951839,,,,
324,1,1,PI368647,PI368647,21.58093079,0.07508183,0.816053372,,,,
147,1,1,PI472339,PI472339,24.5571896,0.124185191,0.819369831,,,,
409,1,1,PI432005,PI432005,24.6597137,0.134593707,0.830139852,,,,
154,1,1,PI472119,PI472119,22.2182988,0.097215092,0.815215612,,,,
414,1,1,PI435954,PI435954,25.90987851,0.119844154,0.838018744,,,,
401,1,1,PI490288,PI490288,0,0,0,,,,
424,1,1,PI432237,PI432237,26.03424095,0.122246225,0.819095911,,,,
377,1,1,PI472562,PI472562,23.08253928,0.090350644,0.819574603,,,,
436,1,1,PI432071,PI432071,0,0,0,,,,
1,1,1,L24,L24,26.27811167,0.171289982,0.843443294,,,,
354,1,1,W627763,W627763,20.73912368,0.06873029,0.803360687,,,,
429,1,1,PI472136,PI472136,23.10860591,0.088770777,0.830426239,,,,
255,1,1,ILL4774,ILL4774,23.99261689,0.09106724,0.82211357,,,,
368,1,1,PI468899,PI468899,23.39331011,0.095246826,0.815429972,,,,
164,1,1,PI426807,PI426807,21.37061356,0.083073735,0.817498003,,,,
440,1,1,PI472161,PI472161,23.45423254,0.114214929,0.818181168,,,,
267,1,1,ILL5028,ILL5028,24.70582827,0.057700636,0.823427156,,,,
411,1,1,PI468902,PI468902,26.03505202,0.115209779,0.825762635,,,,
279,1,1,ILL5626,ILL5626,24.89524737,0.11166994,0.824717374,,,,
50,1,1,ILL1939,ILL1939,24.93693116,0.15123537,0.820601822,,,,
177,1,1,PI177442,ILL158,23.77639768,0.136368281,0.821562813,,,,
273,1,1,ILL5505,ILL5505,0,0,0,,,,
416,1,1,PI432145,PI432145,26.74202301,0.150830776,0.829090958,,,,
388,1,1,W627782,W627782,21.73270357,0.082700323,0.817598255,,,,
210,1,1,ILL2181,ILL2181,24.34059098,0.145125131,0.838802114,,,,
361,1,1,PI508090,PI508090,0,0,0,,,,
313,1,1,PI299237,PI299237,25.4042733,0.141224112,0.831802113,,,,
218,1,1,ILL4164,ILL4164,21.93327801,0.086444212,0.801486897,,,,
61,1,1,ILL241,ILL241,25.17245498,0.134911814,0.828614217,,,,
306,1,1,PI169534,PI169534,23.33163082,0.125960852,0.826623607,,,,
126,1,1,PI329169,PI329169,25.43693279,0.132844248,0.823506532,,,,
236,1,1,ILL7090,ILL7090,0,0,0,,,,
242,1,1,ILL7789,ILL7789,22.29024641,0.093929467,0.816214502,,,,
213,1,1,ILL2406,ILL2406,23.92323827,0.100616306,0.820124394,,,,
120,1,1,ILL969,ILL969,25.4134554,0.176734748,0.81728094,,,,
158,1,1,PI472331,PI472331,20.380309,0.063727044,0.801569061,,,,
208,1,1,PI379372,ILL1949,22.97604085,0.119670559,0.822203561,,,,
221,1,1,ILL4471,ILL4471,24.34918912,0.104014543,0.819790953,,,,
192,1,1,PI345638,ILL619,27.14321066,0.164181971,0.834229077,,,,
309,1,1,PI178971,PI178971,22.39964263,0.101872468,0.81262638,,,,
399,1,1,PI533693,PI533693,22.02636891,0.091879944,0.82597182,,,,
204,1,1,ILL1005,ILL1005,24.76314529,0.134999514,0.827448318,,,,
353,1,1,PI429369,PI429369,23.32355806,0.101006225,0.820332203,,,,
392,1,1,PI472549,PI472549,0,0,0,,,,
299,1,1,ILL7981,ILL7981,0,0,0,,,,
190,1,1,PI343025,ILL597,24.15768642,0.148404093,0.839585447,,,,
17,1,1,ILL10864,ILL10864,22.3348209,0.112877025,0.827200444,,,,
305,1,1,PI273664,PI273664,29.36430104,0.192325513,0.85736898,,,,
75,1,1,PI298357,PI298357,0,0,0,,,,
334,1,1,PI431710,PI431710,24.05175509,0.119121101,0.825699908,,,,
271,1,1,ILL5416,ILL5416,22.75242251,0.076270407,0.82553002,,,,
404,1,1,PI472488,PI472488,27.91207132,0.147799119,0.855866602,,,,
274,1,1,ILL5509,ILL5509,21.65695759,0.11303002,0.813528557,,,,
328,1,1,PI299215,PI299215,0,0,0,,,,
330,1,1,PI431622,PI431622,25.28989332,0.114170889,0.828520879,,,,
10,1,1,ILL8006,ILL8006,0,0,0,,,,
54,1,1,PI379368,PI379368,23.61487985,0.117127917,0.833453947,,,,
300,1,1,ILL8007,ILL8007,23.19750013,0.135731316,0.818676113,,,,
362,1,1,PI472416,PI472416,20.5665534,0.084916591,0.798809664,,,,
249,1,1,ILL7774,ILL7774,32.26163339,0.197560831,0.874681748,,,,
276,1,1,ILL5533,ILL5533,22.31661798,0.12238481,0.808149628,,,,
30,1,1,ILL9951,ILL9951,23.46665277,0.12609772,0.818445453,,,,
91,1,1,ILL454,ILL454,25.31816519,0.138861741,0.831822232,,,,
288,1,1,ILL6528,ILL6528,24.84766993,0.078709775,0.820663644,,,,
248,1,1,ILL4875,ILL4875,22.80903959,0.126485715,0.81314193,,,,
396,1,1,PI432184,PI432184,24.05851097,0.103691188,0.821848262,,,,
122,1,1,PI431663,PI431663,23.35537198,0.127689891,0.817586246,,,,
393,1,1,PI477921,PI477921,0,0,0,,,,
7,1,1,PI299371,PI299371,0,0,0,,,,
223,1,1,PI298923,ILL343,23.6628244,0.138007081,0.815472561,,,,
167,1,1,PI431980,PI431980,24.53607691,0.151446965,0.833591422,,,,
99,1,1,PI320935,PI320935,23.02494133,0.111266013,0.8359396,,,,
63,1,1,PI289066,PI289066,25.73619771,0.145043778,0.836712301,,,,
9,1,1,ILL590,ILL590,25.71840945,0.155654415,0.848951593,,,,
142,1,1,PI468901,PI468901,0,0,0,,,,
171,1,1,W627761,W627761,22.32725348,0.125891508,0.803229104,,,,
100,1,1,PI320936,PI320936,23.39904103,0.123606763,0.836719873,,,,
228,1,1,ILL4671,ILL4671,27.83212195,0.185960502,0.843173513,,,,
132,1,1,PI476365,PI476365,26.55618846,0.151254737,0.845819479,,,,
211,1,1,ILL2230,ILL2230,27.59658463,0.174958431,0.845057449,,,,
216,1,1,ILL3517,ILL3517,22.00783903,0.108494444,0.819305661,,,,
308,1,1,PI250158,PI250158,23.6134948,0.107432459,0.819752183,,,,
428,1,1,PI432185,PI432185,24.81408448,0.118573793,0.826490775,,,,
321,1,1,PI251248,PI251248,23.7607033,0.142101512,0.815560344,,,,
397,1,1,PI518732,PI518732,0,0,0,,,,
442,1,1,PI472400,PI472400,0,0,0,,,,
345,1,1,PI431768,PI431768,23.41043868,0.082699392,0.804686693,,,,
2,1,1,ILL1947,ILL1947,23.32849057,0.103896878,0.819225022,,,,
112,1,1,ILL537,ILL537,25.81828746,0.14067919,0.829660403,,,,
95,1,1,PI300250,PI300250,0,0,0,,,,
417,1,1,W627766,W627766,24.95603796,0.117130452,0.825159438,,,,
375,1,1,PI472327,PI472327,22.22651936,0.094810535,0.811645005,,,,
26,1,1,ILL6199,ILL6199,22.53066367,0.165855397,0.828215517,,,,
244,1,1,ILL5956,ILL5956,23.53364162,0.104931497,0.828016095,,,,
3,1,1,ILL2684,ILL2684,23.42178436,0.117397197,0.814879245,,,,
206,1,1,ILL1671,ILL1671,24.10673035,0.105678341,0.826997023,,,,
97,1,1,ILL486,ILL486,0,0,0,,,,
117,1,1,PI431643,PI431643,27.26405237,0.130062508,0.84537461,,,,
430,1,1,PI472372,PI472372,27.06176826,0.208580957,0.856136199,,,,
14,1,1,ILL10825,ILL10825,23.64406592,0.128184574,0.821931617,,,,
372,1,1,PI431810,PI431810,23.13490106,0.101826467,0.818744647,,,,
146,1,1,PI431712,PI431712,23.16160371,0.133204692,0.834040964,,,,
175,1,1,ILL82,ILL82,25.28718303,0.133354847,0.834332908,,,,
