taxa,Platform,Origin_country,Origin_continent,Subpopulation,PC1,PC2,PC3,PC4,PC5
PI472316,WGS,India,Asia,K3,-743.3204622,-327.4030301,-182.3733624,48.05354215,331.4698007
PI426797,WGS,Pakistan,Asia,K3,-741.9662751,-327.6400249,-185.3065476,49.95564382,336.5971962
PI472354,WGS,India,Asia,K3,-741.2877674,-324.0601552,-178.0362688,52.63521302,324.8869504
PI472320,WGS,India,Asia,K3,-739.7463487,-329.5459482,-187.6391057,45.54341246,337.3813172
PI472452,WGS,India,Asia,K3,-737.7201111,-329.6860398,-183.5570299,46.91537517,338.1583946
ILL2684,WGS,Iran,Asia,K3,-737.5537974,-324.2025167,-181.6784411,40.78108668,333.3940338
PI472119,WGS,India,Asia,K3,-731.7662447,-332.0098255,-190.1597695,37.50888029,318.7068582
PI472380,WGS,India,Asia,K3,-727.9504021,-330.0191264,-184.0278205,40.13538591,327.8823992
PI472195,WGS,India,Asia,K3,-724.3527418,-333.199601,-190.1191573,62.45937533,330.7290196
PI472339,WGS,India,Asia,K3,-722.6650058,-334.9812659,-192.5613255,61.76362513,331.3737173
ILL9951,WGS,Syria,Asia,K3,-722.1434275,-21.54119245,48.41548248,7.592446758,85.41041191
PI472340,WGS,India,Asia,K3,-720.7284427,-334.1178573,-192.2643959,65.22726645,323.400974
PI472188,WGS,India,Asia,K3,-720.4831863,-334.3519394,-191.2636371,61.09135073,332.6091541
PI472126,WGS,India,Asia,K3,-719.4581681,-339.2419582,-189.8546129,44.73270459,311.4981054
PI472535,WGS,India,Asia,K3,-718.6828812,-340.2801986,-194.4430143,59.66355535,342.4254655
PI472331,WGS,India,Asia,K3,-718.5128178,-337.8222205,-196.0198061,50.21549246,342.7690992
ILL213,WGS,Afganistan,Asia,K3,-711.2101202,-77.98012992,8.263571965,36.62126257,37.37187276
ILL8006,WGS,Syria,Asia,K3,-702.8176394,-282.863217,-128.4495843,40.60856392,290.4468877
ILL10865,WGS,Syria,Asia,K3,-701.8593381,46.47558322,53.52879551,-26.96916066,43.28745423
ILL10866,WGS,Syria,Asia,K3,-699.1248752,36.14688852,49.53885038,-9.031405126,52.26437198
ILL358,WGS,Mexico,North America,K3,-699.071535,38.39238193,64.90965556,23.01022842,58.25114014
PI431705,WGS,Iran,Asia,K3,-696.0470977,-301.9540565,-48.59167848,-57.61183666,-302.7887432
PI431753,WGS,Iran,Asia,K3,-688.3231293,-309.7172221,-54.91827299,-46.45364764,-312.645403
PI431624,WGS,Iran,Asia,K3,-687.4538936,-301.768909,-37.8211948,-60.58777028,-311.1745944
ILL1460,WGS,Iran,Asia,K3,-687.4315578,30.07171346,15.83622845,75.55590415,58.67322705
ILL906,WGS,Iran,Asia,K3,-685.4716512,-296.893552,-38.06350246,-53.55261213,-313.6279296
PI431712,WGS,Iran,Asia,K3,-682.6708984,-302.4677247,-48.67452326,-51.87865596,-299.3800797
ILL10947,WGS,Syria,Asia,K3,-682.0235831,68.28621646,51.93134339,17.80397384,61.92997661
PI426807,WGS,Pakistan,Asia,K3,-677.124342,-285.2822418,-38.91878662,-9.946195268,-293.3880798
ILL217,WGS,Afganistan,Asia,K3,-675.6595218,-295.4090055,-125.1109809,-15.62331355,-10.08797895
ILL10864,WGS,Syria,Asia,K3,-674.152288,61.98386688,70.94703425,13.84834118,63.15762141
ILL10863,WGS,Syria,Asia,K3,-672.2311697,84.7911539,63.41885699,12.49633113,67.15141311
ILL10284,WGS,Syria,Asia,K3,-658.5382912,23.05295776,29.67922519,61.76879591,65.70360827
PI472590,WGS,Lebanon,Asia,K3,-638.9086837,-288.891565,-33.80643206,29.63674682,-301.1273108
PI431873,WGS,Iran,Asia,K3,-631.9933345,-301.8218295,-52.60530166,43.19800878,-291.2491788
ILL186,WGS,Turkey,Asia,K3,-630.4008176,-152.1598698,-18.33883906,85.95783962,55.16184854
PI431739,WGS,Iran,Asia,K3,-625.0439692,-257.9486088,-0.621639765,101.2504182,-297.2477334
PI606570,WGS,Iraq,Asia,K3,-616.8033811,-169.2945856,-25.55242193,98.39882594,5.353877148
PI472213,WGS,India,Asia,K3,-614.2390708,-305.6624886,-101.9764052,145.650887,-82.25287075
PI431888,WGS,Iran,Asia,K3,-596.1154629,-307.9114912,-59.02348663,73.19805268,-275.9347275
PI432000,WGS,Iran,Asia,K3,-593.8112656,-296.7579347,-37.52155297,51.99676775,-286.3393743
PI577168,WGS,Iraq,Asia,K3,-591.4574236,-73.89769805,-8.397624258,-70.59367824,148.2432944
