"Sample","K1","K2","K3","K4","K5","K6","K7","K8","K9","K10","Assigned_K","MaxQ","AdmixtureIndex"
"ILL10826",0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.99991,9.00000000000345e-05
"ILL486",0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.99991,9.00000000000345e-05
"W627768",0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.99991,9.00000000000345e-05
"PI420818",0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.99991,9.00000000000345e-05
"ILL482",0.965246,1e-05,0.034674,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.965246,0.034754
"ILL6783",0.963725,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.036195,1e-05,1e-05,"K1",0.963725,0.0362749999999999
"ILL1939",0.957031,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.042889,1e-05,"K1",0.957031,0.042969
"ILL211",0.953252,1e-05,0.00234,1e-05,1e-05,1e-05,1e-05,1e-05,0.044338,1e-05,"K1",0.953252,0.046748
"ILL7686",0.952735,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.047185,1e-05,"K1",0.952735,0.047265
"ILL5582",0.949842,1e-05,0.050078,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.949842,0.050158
"ILL8614",0.948073,1.7e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.05184,1e-05,1e-05,"K1",0.948073,0.0519269999999999
"ILL10825",0.922072,0.077848,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.922072,0.077928
"W627761",0.914071,1e-05,0.041727,1e-05,1e-05,1e-05,0.044132,1e-05,1e-05,1e-05,"K1",0.914071,0.085929
"ILL440",0.866739,1e-05,1e-05,1e-05,0.035466,1e-05,1e-05,1e-05,1e-05,0.097724,"K1",0.866739,0.133261
"ILL6750",0.853602,1e-05,0.115172,1e-05,1e-05,1e-05,0.031156,1e-05,1e-05,1e-05,"K1",0.853602,0.146398
"ILL10810",0.847334,0.152577,1e-05,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,"K1",0.847334,0.152666
"ILL5537",0.84197,0.093166,0.054075,1e-05,1e-05,0.003218,1e-05,1e-05,1e-05,0.007521,"K1",0.84197,0.15803
"ILL10690",0.840187,0.036631,1.1e-05,1e-05,1e-05,1e-05,1.4e-05,0.085503,0.037614,1e-05,"K1",0.840187,0.159813
"ILL6415",0.833805,1e-05,0.105015,1e-05,0.06111,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.833805,0.166195
"ILL6870",0.822379,0.006774,0.118935,1e-05,1e-05,1e-05,0.014225,1e-05,1e-05,0.037638,"K1",0.822379,0.177621
"ILL1940",0.797705,1e-05,0.140648,1e-05,1e-05,1e-05,0.028946,0.032641,1e-05,1e-05,"K1",0.797705,0.202295
"ILL507",0.793347,0.163541,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.043041,"K1",0.793347,0.206653
"ILL8114",0.789314,0.210606,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.789314,0.210686
"ILL6199",0.764028,0.214679,1e-05,1e-05,0.003943,0.01729,1e-05,1e-05,1e-05,1e-05,"K1",0.764028,0.235972
"ILL5988",0.749977,0.129924,1e-05,1e-05,1e-05,1e-05,0.120029,1e-05,1e-05,1e-05,"K1",0.749977,0.250023
"ILL241",0.729055,0.154616,1e-05,1e-05,0.033152,0.073958,1e-05,1e-05,1e-05,0.009169,"K1",0.729055,0.270945
"ILL4841",0.671761,0.011373,0.089464,1e-05,0.227342,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.671761,0.328239
"ILL312",0.663032,0.106557,0.112577,1e-05,0.117774,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.663032,0.336968
"ILL2230",0.649631,0.036047,0.268189,0.009495,1e-05,1e-05,0.009922,1e-05,0.026676,1e-05,"K1",0.649631,0.350369
"ILL969",0.6385,0.004248,0.186243,0.17095,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.6385,0.3615
"ILL454",0.567353,0.207465,1.4e-05,1e-05,0.175062,1e-05,1e-05,1e-05,1e-05,0.050056,"K1",0.567353,0.432647
"ILL1924",0.564307,0.202014,1e-05,1e-05,0.233609,1e-05,1e-05,1e-05,1e-05,1e-05,"K1",0.564307,0.435693
"ILL7978",0.502018,1e-05,0.482028,1e-05,1e-05,0.015884,1e-05,1e-05,1e-05,1e-05,"K1",0.502018,0.497982
"PI299289",0.473161,0.322699,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.20407,"K1",0.473161,0.526839
"ILL359",0.454983,0.403998,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.140949,"K1",0.454983,0.545017
"ILL360",0.454894,0.404002,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.141034,"K1",0.454894,0.545106
"ILL4819",1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K2",0.99991,9.00000000000345e-05
"ILL353",1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K2",0.99991,9.00000000000345e-05
"ILL357",1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K2",0.99991,9.00000000000345e-05
"ILL6001",1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K2",0.99991,9.00000000000345e-05
"PI476365",1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"K2",0.99991,9.00000000000345e-05
